title,date,publication,remove_tags,add_tags,source,notes
Local Jottings.,21 September 1889,Katoomba Times,Accommodation,Carrington Hotel | towns | Katoomba,accommodation_approval,Item (modified with 1 additional tags)
Mountain Mixtures.,20 November 1891,Katoomba Times,Accommodation,hotel | hotellier | Mount Victoria | towns,accommodation_approval,Item (modified with 1 additional tags)
Mountain Mixtures.,29 April 1892,Katoomba Times,Accommodation,Belgravia Hotel | Mr Ellis | Medlow | towns | regulatory processes | hotel licensing,accommodation_approval,Item (modified with 1 additional tags)
News in Brief.,1 September 1905,Mountaineer,Accommodation,Falls Hotel | cattle,accommodation_approval,Item #23
Blue Mountains Railway Tourist Guide,1890s,,Accommodation,TBD,accommodation_approval,MODIFIED: No tags; add to (new) to-do list for content extraction
The Passing of a Mountaineer. Vale! Joseph Nimmo.,23 March 1917,Blue Mountain Echo,Accommodation,Comet Hotel | Clarence | hartley Vale | Lithgow | hotellier | people | Joseph Nimmo,accommodation_approval,Item (modified with 1 additional tags)
Mountain Mixtures.,4 May 1894,Katoomba Times,Accommodation,hotel | Manuell,accommodation_approval,Item #27
Lawson.,5 May 1894,Nepean Times,Accommodation,hotel | Mr Wilson,accommodation_approval,Item #28
Katoomba Police Court.,1 December 1905,Mountaineer,Accommodation,Railway Hotel | Katoomba,accommodation_approval,Item #29
A Public Meeting.,13 January 1905,Mountaineer,Accommodation,TBD,accommodation_approval,MODIFIED: No tags; add to (new) to-do list for content extraction
"St Joseph's New Church, Megalong",17 March 1905,Mountaineer,Accommodation,hotel | Mrs Long | Nellie's Glen (settlement) | Nellie's Glen (gully),accommodation_approval,Item #31
Town Talk.,26 August 1904,Blue Mountain Gazette,Accommodation,Railway Hotel | Mrs Brown | South Katoomba | people | Bashford,accommodation_approval,Item (modified with 1 additional tags)
Megalong Notes.,21 March 1902,Mountaineer,Accommodation,hotel | Mrs Long,accommodation_approval,Item #33
Narrow Neck.,27 December 1901,Mountaineer,Accommodation,Megalong Hotel | Nellie's Glen (gully) | towns | Megalong,accommodation_approval,Item (modified with 1 additional tags)
The Rockley Game.,18 March 1898,Mountaineer,Accommodation,Grant Hotel | Imperial Hotel,accommodation_approval,Item #35
The Inquest.,3 July 1896,Mountaineer,Accommodation,Katoomba Hotel | towns | Katoomba,accommodation_approval,Item (modified with 1 additional tags)
Notice of Application for a Publican's Licence,19 June 1896,Mountaineer,Accommodation,Delaney's Family Hotel | regulatory processes | demographic groups | towns | hotel licensing | Delaney family | Megalong,accommodation_approval,Item (modified with 3 additional tags)
Katoomba Police Court,13 December 1895,Mountaineer,Accommodation,hotel,accommodation_approval,Item #38
Advertising,8 February 1895,Mountaineer,Accommodation,Belgravia Hotel | Medlow | W. Green,accommodation_approval,Item #39
Mountain Mixtures.,29 December 1893,Katoomba Times,Accommodation,boarding house,accommodation_approval,Item #40
Mountain Mixtures,14 July 1893,Katoomba Times,Accommodation,Leura Hotel | cottage | Katoomba,accommodation_approval,Item #41
Licensing.,7 July 1893,Katoomba Times,Accommodation,hotel | Katoomba | regulatory processes | hotel licensing,accommodation_approval,Item (modified with 1 additional tags)
Local and General,8 July 1893,Nepean Times,Accommodation,Carrington Hotel | F. C. Goyder | hotel | Leura | Megalong | regulatory processes | towns | Katoomba,accommodation_approval,Item (modified with 1 additional tags)
Katoomba Court.,16 June 1893,Katoomba Times,Accommodation,"Centennial Hotel | Richard Allen | South Katoomba | regulatory processes | Hotel licensing
 Please",accommodation_approval,Item (modified with 1 additional tags)
Mountain Mixtures.,2 June 1893,Katoomba Times,Accommodation,Hydora House Hotel | Mr Alf. Goodare | Blackheath,accommodation_approval,Item #45
Mountain Mixtures.,2 December 1892,Katoomba Times,Accommodation,hotel | boarding house | people | hotellier,accommodation_approval,Item (modified with 1 additional tags)
Mountain Mixtures.,18 November 1892,Katoomba Times,Accommodation,hotel | boarding house | people | [name of hotellier],accommodation_approval,Item (modified with 1 additional tags)
Licensing.,1 October 1892,Nepean Times,Accommodation,TBD,accommodation_approval,MODIFIED: No tags; add to (new) to-do list for content extraction
Mountain Mixtures.,11 March 1892,Katoomba Times,Accommodation,Katoomba Family Hotel | Mr R. Fryer | Mrs (R.) Fryer | regulatory processes | hotel licensing,accommodation_approval,Item (modified with 1 additional tags)
Testimonial to a Mine Manager.,9 August 1890,Katoomba Times,Accommodation,Centennial Hotel | Mr Edwards,accommodation_approval,Item #50
Katoomba Municipal Elections.,5 July 1890,Katoomba Times,Accommodation,Centennial Hotel | Mr Edwards,accommodation_approval,Item #51
Katoomba.,7 January 1888,Nepean Times,Accommodation,Carrington Hotel | Katoomba Hotel | Biles | boarding house | Katoomba | Buildings | Accommodation and | hotel,accommodation_approval,Item (modified with 1 additional tags)
Katoomba.,29 September 1888,Nepean Times,Accommodation,hotel | Mr J. Nimmo | Mr D. Thompson | Buildings | towns | Katoomba Hotel | Katoomba,accommodation_approval,Item (modified with 2 additional tags)
Katoomba Athletic Sports.,12 December 1885,Nepean Times,Accommodation,"hotel | Mr D. Brown | Buildings | Hotel
 (not only here but in all instances)",accommodation_approval,Item (modified with 1 additional tags)
Advertising,20 November 1885,Sydney Morning Herald,Accommodation,Great Western Hotel | Katoomba,accommodation_approval,Item #55
"Opening of the Gladstone Coal-Mine, Katoomba.",13 July 1885,Sydney Morning Herald,Accommodation,Mt Victoria Hotel | Mr P. G. Whittall | Grand Hotel (Sydney) | Sydney | hotellier | people,accommodation_approval,Item (modified with 1 additional tags)
Katoomba Court.,17 March 1893,Katoomba Times,Accommodation,hotel | Allen,accommodation_approval,Item #57
Katoomba.,14 July 1888,Nepean Times,Accommodation,Carrington | cottage | Buildings | towns | Katoomba,accommodation_approval,Item (modified with 1 additional tags)
Katoomba.,21 April 1903,Lithgow Mercury,Accommodation,Centennial Hotel | South Katoomba | hotellier,accommodation_approval,Item #59
Katoomba.,19 December 1885,Nepean Times,Accommodation,hotel | Brown,accommodation_approval,Item #60
Megalong Valley.,27 October 1893,Katoomba Times,Accommodation,hotel | Mr Delaney | regulatory processes | hotel licensing,accommodation_approval,Item (modified with 1 additional tags)
Katoomba.,24 February 1883,Nepean Times,Accommodation,Great Western Hotel | Mr A. G. Rowell | Oxford Hotel (Sydney) | Sydney,accommodation_approval,Item #62
